Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,Quantity
TAT-2750,TAT-2750,code128,B PLUS,TAT,PCS,PCS,PCS,2750,2750,1,,Inclusive,0870c72daeea861b7f8ce9d93933c848.png,,,,,,,,,0
TAT-27550,TAT-27550,code128,B PLUS,TAT,PCS,PCS,PCS,27550,27550,1,,Inclusive,b2779b0e5869dd2254df71837f6856d8.png,,,,,,,,,0
TAT-27650,TAT-27650,code128,B PLUS,TAT,PCS,PCS,PCS,27650,27650,1,,Inclusive,a2e7ea5a237e085e6f2061a5ba2c0121.png,,,,,,,,,0
TAT-27750,TAT-27750,code128,B PLUS,TAT,PCS,PCS,PCS,27750,27750,1,,Inclusive,16e02c80b41f15d3b32eea327a541c26.png,,,,,,,,,0
TAT-27850,TAT-27850,code128,B PLUS,TAT,PCS,PCS,PCS,27850,27850,1,,Inclusive,4cab76fb06926300c508f113a0e02b1b.png,,,,,,,,,0
TAT-27950,TAT-27950,code128,B PLUS,TAT,PCS,PCS,PCS,27950,27950,1,,Inclusive,4129dfdc6cc6a6dff1cb39cde5006907.png,,,,,,,,,0
TAT-28050,TAT-28050,code128,B PLUS,TAT,PCS,PCS,PCS,28050,28050,1,,Inclusive,673c7ed1ac5de3e9ce358bd29e1454aa.png,,,,,,,,,0
TAT-28150,TAT-28150,code128,B PLUS,TAT,PCS,PCS,PCS,28150,28150,1,,Inclusive,c7d9e1a89927c269e97058dfa0ccb94c.png,,,,,,,,,0
TAT-28250,TAT-28250,code128,B PLUS,TAT,PCS,PCS,PCS,28250,28250,1,,Inclusive,f8d4a8f36a8a984934f416e3f70314ea.png,,,,,,,,,0
TAT-28350,TAT-28350,code128,B PLUS,TAT,PCS,PCS,PCS,28350,28350,1,,Inclusive,f05f19b4ddfc1a348121ba69e95b6bee.png,,,,,,,,,0
TAT-28450,TAT-28450,code128,B PLUS,TAT,PCS,PCS,PCS,28450,28450,1,,Inclusive,dfe1b2a345732945162c73f211f71764.png,,,,,,,,,0
TAT-2850,TAT-2850,code128,B PLUS,TAT,PCS,PCS,PCS,2850,2850,1,,Inclusive,b1d3186632ae25ac12187606a1a2e796.png,,,,,,,,,0
TAT-28550,TAT-28550,code128,B PLUS,TAT,PCS,PCS,PCS,28550,28550,1,,Inclusive,45372aef3abbbdecd032534182b45aa0.png,,,,,,,,,0
TAT-28650,TAT-28650,code128,B PLUS,TAT,PCS,PCS,PCS,28650,28650,1,,Inclusive,2e5e0b499165fe61b4b8e8ce79ef7d8b.png,,,,,,,,,0
TAT-28750,TAT-28750,code128,B PLUS,TAT,PCS,PCS,PCS,28750,28750,1,,Inclusive,d41ba085133e2172bfbf3eca50e3f138.png,,,,,,,,,0
TAT-28850,TAT-28850,code128,B PLUS,TAT,PCS,PCS,PCS,28850,28850,1,,Inclusive,9f1d0c82b893ad2047a5b0175153ba72.png,,,,,,,,,0
TAT-28950,TAT-28950,code128,B PLUS,TAT,PCS,PCS,PCS,28950,28950,1,,Inclusive,304e2dcdf639fdd148dfb3eb60fe4ea1.png,,,,,,,,,0
TAT-29050,TAT-29050,code128,B PLUS,TAT,PCS,PCS,PCS,29050,29050,1,,Inclusive,9a527160f1565e822e9f88db43af80e2.png,,,,,,,,,0
TAT-29150,TAT-29150,code128,B PLUS,TAT,PCS,PCS,PCS,29150,29150,1,,Inclusive,adb11e3b164252c92ea05b87d7f39569.png,,,,,,,,,0
TAT-29250,TAT-29250,code128,B PLUS,TAT,PCS,PCS,PCS,29250,29250,1,,Inclusive,f6d6cecdaf5a8445cb13c9dac22b4c41.png,,,,,,,,,0
TAT-29350,TAT-29350,code128,B PLUS,TAT,PCS,PCS,PCS,29350,29350,1,,Inclusive,6aaf18cd0fc726cc8dee07d3e9845c4e.png,,,,,,,,,0
TAT-29450,TAT-29450,code128,B PLUS,TAT,PCS,PCS,PCS,29450,29450,1,,Inclusive,31f8384d05c325e73379fce67832c6df.png,,,,,,,,,0
